survey_name,interview_date,satis_score,ease_score,likely_recomm,login_rating,nav_rating,web_rating,func_rating,ibiz_rating,features_rating,security_rating,dept_org_unit,prod_type,age
Digital Banking,1/15/2020,5,2,4,6,6,6,3,,5,5,CB ,Loans,56
Loan,1/16/2020,6,7,7,,,,,,,,CB ,Loans,50
Digital Banking,1/25/2020,7,7,10,7,7,7,7,,7,7,CB ,Deposits,57
Retail Banking,1/17/2020,7,7,10,,,,,,,,CB ,Deposits,33
Loan,1/18/2020,7,7,10,,,,,,,,CB ,Loans,35
Digital Banking,1/17/2020,3,7,10,2,2,5,4,,3,6,CB ,Deposits,50
Loan,1/17/2020,7,5,8,,,,,,,,CB ,Loans,33
New Account,1/28/2020,7,7,10,,,,,,,,CB ,Deposits,50
Closed Account,1/17/2020,7,7,10,,,,,,,,CB ,Deposits,74
Closed Account,1/17/2020,7,5,9,,,,,,,,CB ,Loans,25
Business Banking,1/28/2020,7,7,10,,,,,,,,PB ,Deposits,
Retail Banking,1/16/2020,7,7,10,,,,,,,,CB ,Loans,66
New Account,1/16/2020,6,7,8,,,,,,,,CB ,Deposits,67
Business Banking,1/16/2020,6,4,7,,,,,,,,BB ,Deposits,
Business Banking,1/28/2020,6,7,8,,,,,,,,BB ,Deposits,
Retail Banking,1/17/2020,7,6,10,,,,,,,,CB ,Deposits,52
Retail Banking,1/17/2020,5,5,5,,,,,,,,BB ,Loans,57
Retail Banking,1/27/2020,7,7,10,,,,,,,,CB ,Deposits,73
Retail Banking,1/27/2020,7,7,10,,,,,,,,CB ,Deposits,91
Retail Banking,1/27/2020,5,7,10,,,,,,,,CB ,Loans,67
Digital Banking,1/27/2020,6,6,10,7,6,7,7,,6,7,CB ,Deposits,32
New Account,1/27/2020,7,7,10,,,,,,,,CB ,Deposits,70
Business Banking,1/23/2020,5,6,10,,,,,,,,MM ,Deposits,
Business Banking,1/30/2020,4,3,4,,,,,,,,BB ,Deposits,
Business Banking,1/30/2020,7,7,10,,,,,,,,BB ,Deposits,
Business Banking,1/30/2020,7,7,10,,,,,,,,PB ,Deposits,
Business Banking,1/30/2020,7,7,10,,,,,,,,BB ,Deposits,
Retail Banking,1/17/2020,7,7,10,,,,,,,,CB ,Deposits,64
New Account,1/15/2020,7,7,10,,,,,,,,CB ,Deposits,62
Retail Banking,1/27/2020,7,7,10,,,,,,,,CB ,Deposits,46
Loan,1/23/2020,7,7,9,,,,,,,,CB ,Loans,62
New Account,1/22/2020,7,7,9,,,,,,,,CB ,Deposits,60
Business Banking,1/21/2020,7,7,10,,,,,,,,PB ,Deposits,
Mortgage Post Application,1/21/2020,7,7,10,,,,,,,,,,31
New Account,1/22/2020,7,7,10,,,,,,,,CB ,Deposits,35
Digital Banking,1/10/2020,7,7,10,7,6,7,7,,7,7,CB ,Deposits,72
Digital Banking,1/22/2020,1,4,5,4,4,4,1,,1,7,CB ,Loans,71
Mortgage Post Closing,1/23/2020,6,7,10,,,,,,,,,,24
Retail Banking,1/10/2020,7,7,10,,,,,,,,CB ,Deposits,61
Digital Banking,1/17/2020,4,5,6,6,5,5,5,,5,5,CB ,Deposits,32
Business Banking,1/23/2020,7,7,10,,,,,,,,PB ,Loans,
Business Banking,1/29/2020,7,7,10,,,,,,,,PB ,Deposits,
Loan,1/15/2020,7,7,10,,,,,,,,CB ,Loans,70
Mortgage Post Closing,1/15/2020,5,5,9,,,,,,,,,,55
