survey_name,interview_date,satis_score,ease_score,likely_recomm,login_rating,nav_rating,web_rating,func_rating,features_rating,security_rating,dept_org_unit,prod_type,age
Digital Banking,3/24/2020,7,7,10,7,7,7,7,7,7,CB ,Deposits,73
Digital Banking,3/12/2020,7,4,8,7,7,7,7,7,7,BB ,Deposits,63
Digital Banking,3/12/2020,7,7,10,7,7,7,7,7,7,CB ,Deposits,69
Digital Banking,3/12/2020,7,7,10,7,7,7,7,7,7,CB ,Deposits,77
Digital Banking,3/13/2020,7,7,10,6,6,6,6,7,7,BB ,Deposits,69
Digital Banking,3/13/2020,7,7,10,7,7,7,6,7,7,CB ,Deposits,80
Digital Banking,3/4/2020,6,6,9,6,6,6,6,6,6,CB ,Deposits,62
Digital Banking,3/4/2020,6,6,9,7,7,7,7,7,7,CB ,Deposits,52
Digital Banking,3/24/2020,5,7,10,5,6,7,5,6,6,CB ,Deposits,71
Digital Banking,3/25/2020,7,5,9,7,7,7,5,7,7,CB ,Deposits,45
Digital Banking,3/25/2020,7,7,10,7,7,7,7,7,7,CB ,Deposits,56
Digital Banking,3/18/2020,5,6,8,6,6,5,5,6,6,PB ,Deposits,60
Digital Banking,3/14/2020,7,7,10,7,7,7,7,7,7,CB ,Loans,56
Digital Banking,3/24/2020,5,5,8,3,3,3,3,4,4,BB ,Deposits,79
Digital Banking,3/24/2020,7,7,10,7,7,7,7,7,7,CB ,Deposits,72
Digital Banking,3/13/2020,7,7,10,7,7,7,7,7,7,CB ,Deposits,69
Digital Banking,3/24/2020,7,7,10,7,7,7,7,6,7,PB ,Deposits,48
Digital Banking,3/23/2020,2,3,2,4,5,6,1,2,4,CB ,Deposits,80
Digital Banking,3/16/2020,6,6,8,5,5,5,5,6,6,CB ,Loans,56
Digital Banking,3/18/2020,7,7,6,5,7,7,7,7,7,CB ,Deposits,66
Digital Banking,3/18/2020,7,7,10,7,7,7,7,7,7,CB ,Deposits,64
Digital Banking,3/18/2020,6,6,9,7,6,6,6,6,7,CB ,Deposits,81
Digital Banking,3/27/2020,7,7,10,7,7,7,6,7,7,CB ,Deposits,62
Digital Banking,4/3/2020,7,7,10,7,7,7,7,7,7,CB ,Deposits,72
Digital Banking,4/3/2020,7,7,10,7,6,6,6,6,7,PB ,Deposits,43
Digital Banking,4/3/2020,5,5,9,5,5,5,6,7,7,CB ,Deposits,63
Digital Banking,4/4/2020,6,7,10,6,6,6,6,6,6,CB ,Loans,68
Digital Banking,4/6/2020,2,5,5,7,6,5,7,7,7,CB ,Deposits,21
Digital Banking,4/6/2020,7,7,10,7,7,7,7,7,7,CB ,Deposits,47
Digital Banking,4/7/2020,5,5,6,5,4,5,6,6,7,CB ,Loans,59
Digital Banking,4/6/2020,7,7,10,7,7,7,7,7,7,CB ,Loans,60
Digital Banking,4/6/2020,7,7,10,7,7,7,7,7,7,CB ,Deposits,69
Digital Banking,4/6/2020,7,7,10,7,7,7,7,7,7,CB ,Loans,74
Digital Banking,4/6/2020,7,7,10,7,7,7,7,7,7,CB ,Deposits,37
Digital Banking,4/6/2020,5,5,7,6,3,7,6,5,5,CB ,Deposits,82
Digital Banking,4/8/2020,6,7,8,7,6,7,6,7,6,PB ,Loans,80
Digital Banking,4/8/2020,7,7,9,7,7,7,7,7,7,CB ,Deposits,79
Digital Banking,4/7/2020,5,7,10,6,3,5,6,5,6,CB ,Deposits,79
Digital Banking,4/7/2020,7,7,10,7,7,7,5,5,7,PB ,Deposits,59
Digital Banking,4/9/2020,6,7,9,7,7,6,6,6,7,CB ,Deposits,88
Digital Banking,4/7/2020,7,7,10,7,7,7,7,7,7,PB ,Deposits,74
Digital Banking,4/7/2020,6,7,9,6,6,7,7,6,6,CB ,Deposits,60
Digital Banking,4/8/2020,7,7,10,7,7,7,7,7,7,CB ,Loans,52
Digital Banking,4/7/2020,7,7,10,6,6,6,7,7,7,CB ,Deposits,70
Digital Banking,4/7/2020,7,7,10,7,7,5,5,7,7,CB ,Loans,70
Digital Banking,4/8/2020,3,5,6,2,1,3,3,3,2,CB ,Deposits,72
Digital Banking,4/9/2020,7,7,10,6,6,6,6,7,7,CB ,Deposits,72
Digital Banking,4/9/2020,7,7,10,6,7,7,6,7,7,CB ,Deposits,64
Digital Banking,4/11/2020,7,7,10,7,7,7,7,7,7,CB ,Deposits,66
Digital Banking,4/10/2020,7,7,10,7,7,7,7,7,7,CB ,Deposits,67
