survey_name,month,interview_date,satis_rating,avg_sat_rating,ease_rating,recommend_rating,login_rating,navig_rating,web_rating,function_rating,feature_rating,security_rating,dept_org_unit,product,zipcode,age,
Digital Banking,2020M03,3/5/2020,7,,7,10,7,7,7,7,7,7,CB ,Deposits,78238,55,
Digital Banking,2020M03,3/5/2020,7,,7,10,7,7,7,7,7,7,CB ,Deposits,78253,46,
Digital Banking,2020M03,3/14/2020,7,,7,10,7,7,4,7,7,7,CB ,Deposits,78028,55,
Digital Banking,2020M03,3/4/2020,6,,7,10,5,5,5,7,6,6,CB ,Deposits,78232,81,
Digital Banking,2020M03,3/7/2020,7,,7,10,7,7,7,7,7,7,CB ,Deposits,78249,82,
Digital Banking,2020M03,3/8/2020,5,,7,9,6,6,7,6,6,6,CB ,Deposits,78154,62,
Digital Banking,2020M03,3/9/2020,6,,6,9,5,5,6,6,6,6,PB ,Deposits,78064,66,
Digital Banking,2020M03,3/12/2020,6,,7,10,5,7,6,6,6,6,CB ,Deposits,78613,72,
Digital Banking,2020M03,3/5/2020,7,,7,10,7,7,7,7,7,7,BB ,Deposits,78209,81,
Digital Banking,2020M03,3/3/2020,5,,7,9,7,7,7,7,7,7,CB ,Deposits,78039,49,
Digital Banking,2020M03,3/11/2020,5,,6,9,5,5,5,5,5,6,CB ,Deposits,78231,77,
Digital Banking,2020M03,3/4/2020,7,,7,10,7,7,7,7,7,7,CB ,Deposits,78217,70,
Digital Banking,2020M03,3/20/2020,7,,7,10,7,6,6,6,6,7,CB ,Loans,78559,77,
Digital Banking,2020M03,3/20/2020,5,,6,9,7,7,6,5,6,7,CB ,Deposits,78631,29,
Digital Banking,2020M03,3/20/2020,5,,5,7,5,5,5,6,4,7,CB ,Deposits,78209,60,
Digital Banking,2020M03,3/10/2020,7,,7,10,7,7,7,7,7,7,CB ,Loans,78124,72,
Digital Banking,2020M03,3/22/2020,6,,6,9,6,7,7,6,7,7,CB ,Deposits,78238,46,
Digital Banking,2020M03,3/25/2020,5,,6,10,7,6,6,6,6,7,CB ,Deposits,78218,64,
Digital Banking,2020M03,3/27/2020,5,,6,9,6,5,6,5,6,7,CB ,Deposits,78232,73,
